name,s,f,w,tautorsion,shift,hiddentau,notes,h0info,h0ext,h1info,h1target,h2info,h2target,h3info,h3target,label,angle,Dr inf000,dr,XX
c2,41,3,22,0,0,,,,h0 c2,,,,,,h3 c2,c_2,,,h0 f1,gen
h0 c2,41,4,22,0,0,,,t,h1 f1,,,,,,,,,t,h1^2 e1,XX
h1 f1,41,5,23,0,0,hid,,,,,,,,,,,,,,XX
h1^2 h5 c0,41,6,23,1,0,,,,,,h1^3 h5 c0,,,,,,,,,XX
h1^3 e1,41,7,24,1,-1,,,,,,,,,,,,,,,XX
P h1^2 h5,41,7,22,0,1,,,,,,P h1^3 h5,,,,,,,,,XX
t h1 g^2,41,9,24,2,0,,,,,,,,,,,,,,,XX
D h0^2 e0,41,10,22,0,0,,,t,D h1^3 d0,,,,,,,\D h_0^2 e_0,,,,gen
D h1^3 d0,41,11,23,0,0,,,,,,loc,,,,,,,,,XX
P^2 c0 e0,41,15,23,1,0,,,,,,loc,,,,,P^2 c_0 e_0,,free,,XX
P^3 e0,41,16,22,0,0,,,,P^3 h0 e0,,P^3 h1 e0,,P^2 h0 d0^2,,,P^3 e_0,,,P^3 h1^2 d0,gen
P^3 h0 e0,41,17,22,0,0,,,,P^3 h0^2 e0,,,,P^2 h0^2 d0^2,,,,,,,XX
P^3 h0^2 e0,41,18,22,0,0,,,t,P^3 h1^3 d0,,,,,,,,,,,XX
P^3 h1^3 d0,41,19,23,0,0,,,,,,loc,,,,,,,,,XX
P^4 h1 c0,41,20,22,0,0,,,,,,loc,,,,,,,,,XX
P^5 h1,41,21,21,0,0,,,,,,P^5 h1^2,,,,,auto,,,,gen
P h2 h5,42,6,22,0,0,,,,P h0 h2 h5,,,,h0^2 h5 d0,,,P h_2 h_5,,,,XX
P h0 h2 h5,42,7,22,0,-1,,,t,P h1^3 h5,,,,,,,,,,,XX
h1^3 h5 c0,42,7,24,1,1,,,,,,h1^4 h5 c0,,,,,,,,,XX
h2 c1 g,42,8,25,2,-1,,,,,,,,,,,,,,,XX
P h1^3 h5,42,8,23,0,1,,,,,t2,h2 g^2,,,,,,,,,XX
